Entrez_Gene_Id,TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
26287.0,-1.4991,-1.4991,-1.4991,-1.4991,-1.4991
80341.0,-1.0917,-1.0917,-1.0917,-1.0917,-1.0917
256815.0,-1.6163,-1.6163,-1.6163,-1.6163,-1.6163
400120.0,-1.2105,-1.2105,-1.2105,-1.2105,-1.2105
199920.0,-1.501,-1.501,-1.501,-1.501,-1.501
388701.0,-1.2521,-1.2521,-1.2521,-1.2521,-1.2521
92747.0,-0.9044,-0.9044,-0.9044,-0.9044,-0.9044
92749.0,-1.2781,-1.2781,-1.2781,-1.2781,-1.2781
677779.0,-1.3489,-1.3489,-1.3489,-1.3489,-1.3489
285679.0,-1.7433,-1.7433,-1.7433,-1.7433,-1.7433
79747.0,-1.7759,-1.7759,-1.7759,-1.7759,-1.7759
56934.0,-1.4328,-1.4328,-1.4328,-1.4328,-1.4328
846.0,-1.5233,-1.5233,-1.5233,-1.5233,-1.5233
887.0,-0.9725,-0.9725,-0.9725,-0.9725,-0.9725
166979.0,-1.0972,-1.0972,-1.0972,-1.0972,-1.0972
344387.0,-1.8208,-1.8208,-1.8208,-1.8208,-1.8208
53942.0,-1.3486,-1.3486,-1.3486,-1.3486,-1.3486
1361.0,-1.2663,-1.2663,-1.2663,-1.2663,-1.2663
10321.0,-1.1517,-1.1517,-1.1517,-1.1517,-1.1517
161635.0,-1.5048,-1.5048,-1.5048,-1.5048,-1.5048
170063.0,-1.4247,-1.4247,-1.4247,-1.4247,-1.4247
254158.0,-2.1598,-2.1598,-2.1598,-2.1598,-2.1598
1761.0,-1.0104,-1.0104,-1.0104,-1.0104,-1.0104
64446.0,-1.2342,-1.2342,-1.2342,-1.2342,-1.2342
84332.0,-1.0529,-1.0529,-1.0529,-1.0529,-1.0529
283985.0,-1.4204,-1.4204,-1.4204,-1.4204,-1.4204
441452.0,-1.4627,-1.4627,-1.4627,-1.4627,-1.4627
2290.0,-1.3333,-1.3333,-1.3333,-1.3333,-1.3333
8456.0,-1.7876,-1.7876,-1.7876,-1.7876,-1.7876
164045.0,-1.6594,-1.6594,-1.6594,-1.6594,-1.6594
3881.0,-1.0206,-1.0206,-1.0206,-1.0206,-1.0206
100128675.0,-1.5086,-1.5086,-1.5086,-1.5086,-1.5086
121838.0,-1.2989,-1.2989,-1.2989,-1.2989,-1.2989
389493.0,-1.4426,-1.4426,-1.4426,-1.4426,-1.4426
4018.0,-1.3014,-1.3014,-1.3014,-1.3014,-1.3014
57497.0,-1.4634,-1.4634,-1.4634,-1.4634,-1.4634
474354.0,-2.0594,-2.0594,-2.0594,-2.0594,-2.0594
116135.0,-1.6266,-1.6266,-1.6266,-1.6266,-1.6266
84125.0,-1.249,-1.249,-1.249,-1.249,-1.249
394263.0,-1.1664,-1.1664,-1.1664,-1.1664,-1.1664
63973.0,-1.4713,-1.4713,-1.4713,-1.4713,-1.4713
4986.0,-1.0988,-1.0988,-1.0988,-1.0988,-1.0988
643847.0,-1.2771,-1.2771,-1.2771,-1.2771,-1.2771
377047.0,-1.4075,-1.4075,-1.4075,-1.4075,-1.4075
5988.0,-1.2405,-1.2405,-1.2405,-1.2405,-1.2405
342931.0,-1.6749,-1.6749,-1.6749,-1.6749,-1.6749
55867.0,-2.2631,-2.2631,-2.2631,-2.2631,-2.2631
54221.0,-1.4953,-1.4953,-1.4953,-1.4953,-1.4953
54937.0,-1.024,-1.024,-1.024,-1.024,-1.024
100131390.0,-1.1036,-1.1036,-1.1036,-1.1036,-1.1036
22987.0,-1.4644,-1.4644,-1.4644,-1.4644,-1.4644
7348.0,-1.1284,-1.1284,-1.1284,-1.1284,-1.1284
127731.0,-1.2676,-1.2676,-1.2676,-1.2676,-1.2676
375567.0,-1.7459,-1.7459,-1.7459,-1.7459,-1.7459
83889.0,-1.4225,-1.4225,-1.4225,-1.4225,-1.4225
79740.0,-1.0775,-1.0775,-1.0775,-1.0775,-1.0775
7712.0,-1.661,-1.661,-1.661,-1.661,-1.661
284312.0,-1.4091,-1.4091,-1.4091,-1.4091,-1.4091
