Entrez_Gene_Id,TCGA-D3-A1Q5-06,TCGA-D3-A1Q6-06,TCGA-D3-A1Q7-06,TCGA-D3-A1Q9-06,TCGA-D3-A1QA-06,TCGA-D3-A2JN-06,TCGA-D3-A2JP-06,TCGA-D3-A3CB-06,TCGA-D3-A3CE-06,TCGA-D3-A3MR-06,TCGA-D3-A51T-06,TCGA-D3-A8GB-06,TCGA-D3-A8GM-06,TCGA-D9-A148-06,TCGA-DA-A1HW-06,TCGA-DA-A1I4-06,TCGA-DA-A1IB-06,TCGA-DA-A3F5-06,TCGA-EE-A20F-06,TCGA-EE-A29C-06,TCGA-EE-A29H-06,TCGA-EE-A29T-06,TCGA-EE-A29W-06,TCGA-EE-A2GS-06,TCGA-EE-A2M5-06,TCGA-EE-A2M8-06,TCGA-EE-A2MP-06,TCGA-EE-A3AB-06,TCGA-EE-A3AD-06,TCGA-EE-A3AF-06,TCGA-EE-A3AG-06,TCGA-ER-A198-06,TCGA-ER-A19E-06,TCGA-ER-A19G-06,TCGA-ER-A19H-06,TCGA-ER-A19J-06,TCGA-ER-A19M-06,TCGA-ER-A19O-06,TCGA-ER-A19Q-06,TCGA-ER-A2NG-06,TCGA-FR-A44A-06,TCGA-FR-A729-06,TCGA-FW-A3TV-06,TCGA-GF-A4EO-06,TCGA-GF-A6C9-06,TCGA-GN-A26A-06,TCGA-GN-A4U7-06,TCGA-GN-A4U8-06,TCGA-GN-A9SD-06,TCGA-W3-AA1O-06,TCGA-W3-AA1Q-06,TCGA-WE-A8K5-06,TCGA-WE-A8K6-06,TCGA-WE-A8ZQ-06,TCGA-WE-AAA4-06,TCGA-YG-AA3O-06
100133144.0,2.3123,-1.1291,-1.1634,-1.3796,0.1158,0.2999,-0.8066,0.3667,-0.7366,0.3259,0.9245,-0.0276,0.4813,0.7052,-1.5697,-0.414,0.6079,0.7351,0.0808,-0.7468,-2.2865,-0.467,1.3666,-1.9437,-0.7762,-1.5466,-1.484,0.7282,-0.1703,-1.5886,1.0236,-0.5916,-0.1639,-1.3451,-0.8641,-0.6261,1.0721,-0.3849,-2.2865,-1.5671,0.4413,1.5696,-1.2062,0.6842,0.9882,-2.2865,-0.6388,-0.5507,-0.7116,1.1361,0.714,-0.3637,0.019,0.1043,-0.7478,1.7409
390284.0,1.6731,1.0274,0.1719,0.4846,-0.1741,0.8847,1.0403,1.1577,-0.2504,0.2477,0.2674,0.3379,-1.7386,0.4958,-1.9688,1.1408,1.5311,0.0822,0.5351,1.0129,0.8047,1.5133,0.486,0.8229,-0.1399,-0.2418,1.4586,-0.5431,-0.2445,-0.1997,-0.0077,0.1234,0.4971,-0.2975,0.1705,-1.0556,1.7315,-1.3341,0.8032,-1.0646,1.815,-1.0142,-0.0169,0.5527,-0.4991,0.841,0.2859,0.4194,0.0211,-1.0648,0.6507,-0.064,0.675,-0.9143,-1.0105,-1.3256
57714.0,-0.8063,-0.2988,1.3727,0.6344,1.2964,-2.2806,-0.7805,1.3611,-0.4364,0.4114,0.1354,-0.2935,1.7807,0.7583,0.636,-0.6797,-0.1847,-0.1965,1.7223,-0.5983,0.9872,-0.6956,-0.3961,0.6617,-1.0658,1.3715,1.0376,0.0211,0.924,0.3167,-1.2418,1.3103,-1.4554,1.1437,1.126,0.5432,0.651,-0.4524,1.9243,0.7176,1.7394,0.0613,0.8529,0.9441,-0.6098,0.8951,-0.4177,-0.7025,-0.5419,-0.0269,-0.7018,-1.2095,-1.2194,-0.0673,1.9103,0.2748
1.0,-0.0086,-1.7494,-0.9417,-0.2275,-0.4392,1.2346,1.5045,0.1138,-1.9834,1.4172,0.5557,2.3195,-0.3177,0.6822,-0.2713,0.0203,0.37,0.2456,0.6758,0.1711,-0.246,-0.6993,-1.2423,1.1254,-0.4537,-0.4724,-0.138,0.3007,-0.4534,-0.3115,-0.5111,-0.3008,-0.2161,-0.8339,-0.7758,0.2269,-1.5513,0.7842,-0.678,-1.3642,-0.8632,0.3901,-0.2484,-0.2441,1.0023,-1.0865,1.5244,-0.3929,0.2473,-0.1655,0.4806,0.063,0.6407,0.3853,0.5002,-0.1331
87769.0,0.4953,0.7342,0.5561,-1.3483,0.3235,-0.4325,0.0029,0.8975,0.3311,-0.6611,1.1988,1.1194,0.0253,0.4532,-0.0967,-1.3752,0.391,-1.2559,-0.4399,0.7252,-1.6786,-1.594,0.231,0.471,0.0104,-0.3366,-0.0794,0.0466,0.7723,1.2718,-0.0956,-1.9033,-1.9711,-0.3796,-0.8428,1.2699,0.2762,-0.9692,-0.6078,-0.2037,-0.1576,0.3519,0.1135,-0.4405,0.4779,-0.548,-0.003,0.9047,0.0998,1.828,0.1174,-0.6893,0.9018,-2.1778,-0.0095,0.0552
13.0,0.62,-0.4714,1.4264,-1.0408,-1.0408,-1.0408,-1.0408,-1.0408,-1.0408,-1.0408,-1.0408,2.0941,-0.4293,-1.0408,-1.0408,-1.0408,-0.1304,-1.0408,-1.0408,-0.391,-1.0408,-1.0408,0.5275,-0.4854,2.2446,-0.5516,-1.0408,-1.0408,-0.4684,-1.0408,-0.8211,-1.0408,-1.0408,-0.5636,1.4946,-0.5698,-1.0408,-1.0408,-1.0408,-0.8179,-1.0408,-1.0408,-1.0408,-1.0408,-0.0087,-1.0408,-1.0408,-0.7463,-1.0408,-0.7752,-1.0408,-1.0408,-0.7236,-1.0408,-1.0408,-1.0408
51166.0,0.7724,1.9316,0.6153,0.9885,-1.0791,1.1495,-0.9871,-1.0353,-0.6152,0.2718,0.1222,1.3309,0.5817,-0.1467,-1.859,0.1003,-1.2293,0.3519,0.7883,0.2998,-1.2769,-0.0173,1.6062,0.5081,1.2598,-0.9953,0.5193,1.56,0.2216,0.0249,0.4106,-0.2276,0.2475,-0.5375,1.3532,0.7828,0.6781,-2.1563,0.1434,-0.2471,-1.0802,0.3093,0.7938,-0.8425,-0.2615,1.5019,-0.1063,1.0316,-1.3864,0.4981,-0.5828,0.9779,0.9156,0.0522,-3.1558,0.5453
15.0,0.6912,-1.7591,-0.2252,-1.7591,-1.7591,-1.7591,-0.4061,-0.924,-0.979,-0.1508,0.9418,1.1305,-1.7591,0.4111,-0.651,-0.9994,-0.1583,-1.7591,1.0873,2.1277,-0.8507,-1.7591,-1.0048,0.1617,-1.7591,0.0946,-0.1491,-0.6808,0.816,-1.7591,1.5596,-0.2559,-0.9365,-0.9969,-1.7591,-1.7591,0.4834,2.073,1.32,-1.1317,0.5545,0.2208,-1.1683,0.0554,0.3474,-0.1087,0.509,-0.3119,-0.9197,1.7653,-1.7591,-0.3478,-1.7591,-0.2091,1.1038,-1.0443
16.0,-2.3357,-0.4057,-0.7312,0.53,1.9254,0.0319,-0.1621,-0.5237,-0.0724,0.0612,0.012,-0.8495,-0.3753,-1.1203,-0.5907,-0.5336,-0.3972,1.1884,-0.567,0.653,-0.6657,0.8102,-0.2303,0.4776,-0.5672,-0.1156,0.2226,-0.7758,1.1265,-0.3622,-0.5525,0.5069,-0.2974,0.002,0.5586,-0.1199,-0.6476,1.5798,0.8313,-0.7089,-0.426,-0.0063,-0.0716,0.2768,-0.212,-1.1942,0.8708,0.4208,0.167,-0.0254,0.3573,-0.3456,0.3385,-2.4859,1.4954,1.499
57505.0,0.4696,-3.2831,0.283,-2.0916,0.4425,-2.652,0.3669,0.7422,0.1503,0.7399,0.5177,-0.2542,-0.4733,1.0532,-0.3511,-0.5769,-0.7,-0.3495,-1.0714,1.6529,0.3668,-0.3396,-1.5762,1.0562,-1.5237,-0.9191,0.2644,-1.1195,2.4764,0.694,0.3749,0.1523,0.7918,0.3311,-0.2913,0.4608,-0.2717,0.3478,-0.7721,0.0032,0.2973,0.0644,-1.3099,-0.1309,-0.8065,-0.7499,0.6269,-0.2125,-0.7023,-0.7086,0.9638,0.6106,-0.2581,1.0703,0.664,1.4075
