TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
2.5857,2.9261,-0.1552,1.3539,0.4321
-0.7846,-1.4109,-5.4632,-2.2072,-3.5565
-0.9791,-0.9791,-0.9791,-0.9791,2.6595
2.3351,3.1428,1.6893,1.6388,0.809
1.2453,-0.969,0.6733,1.8388,-2.5494
1.4443,1.7207,-0.881,-1.816,-0.1488
-0.7779,-2.5568,-3.7683,0.5577,-1.0636
-0.0874,-0.1746,-0.9343,1.7431,2.566
-0.5201,-0.7243,-1.9492,-3.0286,-1.2381
1.0082,2.5823,0.7827,3.3551,1.0919
0.8572,1.7829,-1.5318,3.2729,-0.4667
-0.738,-1.1601,-1.8552,-3.1128,-2.7652
-0.0329,2.1867,1.7146,2.4904,-1.6952
-2.2384,-2.2384,-1.5621,0.6598,1.0735
-0.2688,-0.5743,0.6893,-3.2324,-1.9107
0.8232,1.9493,1.384,4.1232,1.0652
-0.2352,-0.0885,3.2168,0.6407,0.5249
0.2974,1.2745,0.1419,1.3228,3.4862
-0.9985,1.0764,1.5089,1.9523,3.1507
-0.0815,-1.909,-0.7998,-2.8264,-5.2984
-0.0695,2.0516,-1.9172,-1.7665,0.5107
1.0281,6.154,0.1333,1.2748,0.1496
1.5536,-2.1999,0.0581,2.6217,-1.1462
2.2074,3.6934,0.6852,3.3606,3.0997
2.0256,-0.3465,0.0823,1.7333,2.1139
-1.9986,0.4402,0.5664,3.1997,0.7212
-1.6903,0.9793,2.5917,-1.6903,-0.3944
1.939,-0.7317,1.0321,-3.1147,-0.3665
-1.7911,-3.2835,-2.4411,-1.7198,-1.1029
-0.3801,-3.1564,-3.1564,-1.2841,0.8584
0.4505,-2.5596,1.9108,-1.2131,0.4957
-0.1568,3.2004,3.0925,0.0952,2.1812
-0.1009,-2.0542,-1.6822,-2.4043,-3.7056
2.0096,0.0282,1.8635,-2.0238,-0.1785
1.0588,-1.9799,-1.5557,-0.9619,-3.2218
-1.4597,-1.4597,-0.7012,1.2679,2.2284
2.4864,-1.0547,3.7831,-1.0547,-0.8694
0.2738,2.0569,-2.8703,-0.7482,-2.1259
-1.7225,-1.8089,-2.8032,1.6836,-0.6125
1.6161,2.2541,-1.3056,-0.051,1.4299
1.9033,-2.1557,-2.1557,-2.1557,0.9129
-0.0831,-0.5366,1.3909,1.6416,2.776
0.2347,3.2,1.2469,2.1323,-1.2602
1.4222,-1.3445,2.6126,-1.4987,-1.5719
-2.53,-2.53,-0.1765,1.0401,-2.53
-1.2682,1.7912,0.1522,4.3733,1.9364
-0.4265,1.5757,-2.0587,-2.0213,-2.3464
0.8025,-2.8637,0.4581,-1.7982,-2.8715
-0.4036,2.8511,-0.0659,3.9321,2.504
-1.2018,-0.7429,-3.1407,-1.5566,-1.2159
-1.8331,-0.4759,2.1961,-0.0536,1.4286
-1.4708,-1.4708,-1.4708,-0.1449,2.1961
0.2555,-2.6539,0.6914,-3.8805,-3.3096
-1.4062,0.5305,-0.0678,-0.7797,-4.0324
1.467,-0.7398,2.3392,-1.0867,1.1212
0.1022,1.163,4.4538,0.4833,0.4461
-1.096,-3.5681,-0.8152,-0.6099,-2.6466
0.4888,-1.3613,1.2626,-1.6411,-3.1561
-1.9497,-1.6456,-0.5351,2.4238,-0.7322
0.5825,-2.7369,1.771,1.7102,-2.7369
0.9899,-3.9436,0.2989,-1.5032,-3.4544
0.3842,-0.5026,-0.1783,3.5917,4.6249
-0.5236,0.8316,0.3976,4.1852,2.0911
-0.1206,1.6523,3.039,0.8493,2.0297
1.0402,0.5736,-0.028,3.3062,2.1954
0.7376,1.2226,2.7873,2.7024,0.4579
-2.9571,-1.0972,-1.7582,-1.606,0.2699
0.1871,-2.2769,-2.0337,1.289,1.2076
0.3803,-1.7661,-1.1733,0.1024,2.812
-0.1434,-1.2246,-3.7407,0.4021,-1.0803
-1.774,-1.7828,-0.3917,1.275,-2.6879
-1.655,1.5503,-1.5417,1.9797,0.6807
-1.2868,-2.2757,0.6529,0.742,1.5714
-1.0615,0.7862,-0.5754,-1.9826,-2.7919
1.4779,1.1169,-0.4972,-2.5356,0.7028
-2.3791,-0.1864,-1.6407,1.4176,0.6202
-0.8513,-1.8905,-3.5752,-1.7904,-2.6243
1.8974,1.8991,0.1948,1.2458,2.396
-1.0523,-1.0027,1.0614,1.3618,-2.4453
-1.8955,-1.8955,2.2489,-0.4803,1.7128
1.4006,1.4508,-1.7915,0.95,0.3687
-1.4215,1.4961,-1.0018,0.6653,2.9887
-1.7096,-0.2765,2.5774,-1.7096,-1.7096
-0.1016,1.8837,3.5221,2.1334,0.0861
