Entrez_Gene_Id,TCGA-21-5787-01,TCGA-34-2596-01,TCGA-34-5231-01,TCGA-37-4141-01,TCGA-39-5031-01,TCGA-43-A475-01,TCGA-63-5128-01,TCGA-68-A59J-01,TCGA-77-A5G3-01,TCGA-90-A4ED-01,TCGA-98-A53B-01
100133144.0,-2.2769,-1.8432,0.994,-0.0427,-0.6309,0.127,0.9573,-0.0815,0.9524,0.8139,1.1773
26823.0,-1.9506,1.1385,-0.5955,-0.1582,-0.8293,1.4164,-0.4456,0.7333,-1.9506,0.6894,-1.9506
280660.0,-1.2958,-1.2958,-1.2958,-1.2958,-1.2958,-1.2958,-1.2958,-1.2958,-1.2958,-1.2958,-1.2958
340602.0,-0.9638,0.0955,-0.9638,0.2653,2.7832,0.3382,-0.9638,-0.4505,-0.1274,0.8124,-0.7206
390284.0,-0.2736,-0.1277,0.56,-0.3962,-1.2135,0.5446,-0.3579,0.5679,1.0685,0.1967,-0.0818
391714.0,-0.5038,-1.438,-1.438,-1.438,-1.438,0.3725,-0.1277,-1.438,-1.438,-1.438,-0.3308
404770.0,-1.0603,-1.0603,-1.0603,-1.0603,-1.0603,-1.0603,-1.0603,-1.0603,-1.0603,-1.0603,-1.0603
441362.0,-1.9625,-1.9625,-1.9625,-1.9625,-1.9625,-1.9625,-1.9625,-1.9625,-1.9625,-1.9625,-1.9625
442388.0,-3.8774,-3.8774,-3.8774,-3.8774,-3.8774,-3.8774,-3.8774,-3.8774,-3.8774,-3.8774,-3.8774
553137.0,-0.6507,-1.1349,-1.1349,-1.1349,-0.6289,-0.1965,-1.1349,-1.1349,-1.1349,-1.1349,-0.1428
57714.0,-0.9819,-0.0271,0.8788,-0.3408,-1.869,2.5135,0.0495,2.7367,0.1474,-0.4162,0.3886
728788.0,-1.6179,-0.9117,0.6364,-0.9483,-0.8755,0.2248,-1.6179,1.1456,-0.8077,-1.6179,-1.6179
729884.0,-1.513,-0.8773,-0.338,0.3438,0.7199,-1.2466,-0.0914,0.5354,0.4871,-1.7501,-0.4257
8225.0,-0.6937,0.1746,0.5209,0.0851,0.2315,0.3406,-0.9725,-1.0755,0.0881,0.9828,0.0687
1.0,-0.9423,0.0759,0.3231,0.7501,1.2677,-0.7438,-0.5985,0.0658,-0.7699,1.7923,1.2799
87769.0,-0.4927,0.4209,1.4016,-0.133,-0.1892,1.1449,0.8826,-0.8093,-0.9387,0.9069,-0.1085
53947.0,-0.5665,-0.8694,1.1068,-2.0964,0.7317,-1.4997,-0.0555,1.4208,1.1178,-1.9504,-0.1335
51146.0,-0.6352,-0.6398,-1.4989,0.7113,-0.9864,0.4672,2.256,-0.2723,-0.5278,0.3825,0.1142
13.0,-1.6914,-0.0842,-1.1588,-1.499,0.9242,-0.6383,0.1106,-0.1477,-0.6543,-1.9058,0.964
51166.0,-0.9435,0.77,1.9694,1.235,0.7711,0.8365,-0.2204,1.8022,0.5804,1.3544,0.1614
14.0,0.3074,1.2784,-1.5421,-0.2772,-0.5459,-0.2547,-0.962,0.8767,-0.4505,-0.7284,-1.3726
15.0,-1.9218,-0.4774,-1.9218,-0.056,-0.4116,0.2165,0.0365,2.5043,-0.9816,1.6664,-0.2326
16.0,0.4677,-0.7947,0.7532,-0.3681,-0.6037,0.1463,-1.1071,-1.4185,0.6382,-1.3436,0.2445
57505.0,0.9578,-1.2145,0.5882,-0.7847,-0.2763,0.2052,0.922,0.9205,-0.4909,0.9556,0.6071
80755.0,1.6009,0.1246,1.1474,-0.2749,-0.2516,0.6953,-0.3431,0.6579,0.5851,-0.2088,0.8903
132949.0,-1.031,1.1662,0.625,0.4445,0.8304,-0.3098,-0.4997,-0.643,0.6129,-0.624,-0.3359
26574.0,1.2643,0.6147,1.3848,0.319,-0.9116,-0.847,0.3514,-2.067,0.9595,-1.172,-0.8181
