Entrez_Gene_Id,Entrez_Gene_Id,Entrez_Gene_Id,TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
100130426,100130426,100130426,,,-6.9152,,
100133144,100133144,100133144,2.1074,-0.687,-1.0656,2.0404,0.2411
100134869,100134869,100134869,2.5857,2.9261,-0.1552,1.3539,0.4321
10357,10357,10357,0.3974,-2.3404,0.1243,-0.4936,0.7776
10431,10431,10431,-0.7704,-0.8834,0.5917,-0.4232,-0.457
136542,136542,136542,,,,,
155060,155060,155060,1.0586,0.972,-0.8701,1.2773,-0.1955
26823,26823,26823,,,-0.8447,,
280660,280660,280660,,,-1.8931,,
317712,317712,317712,,,,,
340602,340602,340602,,,-0.6998,,
388795,388795,388795,-0.8328,-0.1053,-0.8213,0.2388,-1.4267
390284,390284,390284,-1.487,-1.9785,-0.13,0.3606,0.528
391343,391343,391343,,,-1.2895,,
391714,391714,391714,,,-2.6791,,
404770,404770,404770,,,,,
441362,441362,441362,,,-5.0064,,
442388,442388,442388,,,,,
553137,553137,553137,,,-1.3795,,
57714,57714,57714,1.444,0.5062,1.331,1.8555,2.179
645851,645851,645851,2.5121,0.8429,-0.4375,-0.059,0.1381
652919,652919,652919,,,-2.661,,
653553,653553,653553,-1.3806,1.478,-0.3996,0.9181,-0.3491
728045,728045,728045,,,,,
728603,728603,728603,,,-2.8675,,
728788,728788,728788,,,-1.9957,,
729884,729884,729884,-0.9931,0.8576,-0.9931,-0.9931,-0.7607
8225,8225,8225,-2.3982,0.9563,-0.3189,0.4769,0.1438
90288,90288,90288,1.3007,1.7783,0.1653,2.9523,-0.742
1,1,1,-0.3238,1.1803,1.1085,1.3288,-0.1198
29974,29974,29974,-0.7846,-1.4109,-5.4632,-2.2072,-3.5565
54715,54715,54715,0.1776,-1.4674,-1.1359,-0.8321,-1.4674
87769,87769,87769,0.5944,-1.4075,0.1305,0.3522,-1.0786
2,2,2,-0.9022,0.0647,0.6744,-0.5274,0.1834
144568,144568,144568,-0.8898,4.3702,-0.8898,-0.8898,-0.8898
53947,53947,53947,-0.956,1.9705,0.8617,0.1409,-0.2032
51146,51146,51146,,,-1.538,,
404744,404744,404744,,,0.7201,,
8086,8086,8086,-1.593,2.3363,0.4646,1.1778,1.2162
65985,65985,65985,-0.0959,1.139,-0.4808,0.0823,0.6499
729522,729522,729522,-0.9791,-0.9791,-0.9791,-0.9791,2.6595
13,13,13,-0.7453,-1.505,0.2772,-0.3166,-1.505
344752,344752,344752,,,-1.4705,,
126767,126767,126767,,,-1.3374,,
343066,343066,343066,,,-2.1531,,
51166,51166,51166,0.6319,-1.8759,-0.099,0.6652,1.581
79719,79719,79719,0.4872,0.1636,0.5269,0.8104,-0.2732
22848,22848,22848,1.0012,-1.0223,-0.2977,-0.1635,-0.8589
14,14,14,-2.6028,0.9524,0.9141,1.1131,1.4363
15,15,15,2.3351,3.1428,1.6893,1.6388,0.809
16,16,16,-0.6444,0.7678,1.0056,0.0283,-0.2017
57505,57505,57505,-0.1132,1.3006,0.3054,0.0397,1.7164
80755,80755,80755,-1.6171,-1.4089,0.374,-1.3288,-1.4321
132949,132949,132949,0.9998,-1.7654,-0.3858,-0.9631,0.3465
60496,60496,60496,-0.5056,-1.6255,0.1004,-1.4551,0.3235
10157,10157,10157,-0.9953,-0.0303,0.0306,-1.1519,0.0152
26574,26574,26574,-1.2494,-1.1229,0.1039,0.1054,-0.2208
9625,9625,9625,-0.5009,-0.2962,-1.2314,-0.1036,-0.2552
18,18,18,-1.184,-1.1714,-1.2287,-0.0434,-0.6816
10349,10349,10349,1.2453,-0.969,0.6733,1.8388,-2.5494
19,19,19,-0.3501,0.6307,1.1719,0.8033,1.0237
79963,79963,79963,-0.2624,-0.8779,-0.5796,0.7834,0.5714
26154,26154,26154,2.0133,1.5391,1.1564,1.4764,1.0529
154664,154664,154664,0.5849,-1.3829,-1.5065,-0.5137,-2.1599
650655,650655,650655,0.1843,0.005,2.524,0.0941,-0.6478
20,20,20,-0.0663,1.3503,0.281,1.3669,1.2828
21,21,21,-0.411,1.387,1.5183,1.8159,1.7879
24,24,24,0.2768,0.8073,-0.02,-0.9269,-1.4713
23461,23461,23461,1.2941,-1.6531,-0.4341,0.0645,-1.5495
23460,23460,23460,-0.292,0.1684,0.6154,0.6578,-0.7582
10347,10347,10347,1.3467,1.6586,1.8922,1.4497,0.8612
10351,10351,10351,-0.314,0.0508,0.0254,-0.2357,-0.2155
10350,10350,10350,0.4458,1.2899,0.218,1.4243,-0.0288
23456,23456,23456,2.0779,-1.9896,-0.3092,-1.3659,0.1635
8647,8647,8647,,,-1.5833,,
5243,5243,5243,-1.4411,-2.2906,-1.0518,-1.1521,-1.5534
5244,5244,5244,-1.6951,-1.8747,-0.3384,-0.0535,-1.6636
340273,340273,340273,-0.6065,-1.2175,0.6801,-1.2175,-0.9904
10058,10058,10058,-0.3912,2.9713,0.6972,-0.2185,0.8462
22,22,22,-1.416,-1.8936,-0.9111,0.284,-0.6178
11194,11194,11194,-0.9686,0.6617,0.7663,-0.431,0.4082
23457,23457,23457,1.4443,1.7207,-0.881,-1.816,-0.1488
89845,89845,89845,-0.8774,0.2067,0.4307,-0.3231,-1.4422
85320,85320,85320,-1.056,-0.211,-0.311,-0.6809,-0.9155
94160,94160,94160,,,-0.7792,,
150000,150000,150000,-0.2428,-1.4343,-2.2523,-1.2388,-1.3782
4363,4363,4363,-0.1598,-0.5112,0.1781,-1.0312,-0.4403
1244,1244,1244,-0.4732,-0.4087,-1.082,-0.199,-1.5229
8714,8714,8714,-0.0588,0.4738,1.4338,0.3273,-0.7262
10257,10257,10257,-0.1541,-0.6292,-0.5373,-1.2634,0.6523
10057,10057,10057,1.5609,-1.2667,-1.6926,0.5279,-1.0168
368,368,368,0.1314,0.1995,-0.2013,0.7917,-0.4517
653190,653190,653190,-0.8786,-0.0981,-0.0689,0.7479,0.2552
730013,730013,730013,-0.5033,-0.944,-1.8643,1.1074,-1.3253
6833,6833,6833,0.084,0.8374,-0.8542,0.1446,-1.3063
10060,10060,10060,0.4041,-0.2363,1.4449,0.173,-0.1071
215,215,215,1.2222,0.2543,2.0745,1.0954,0.6209
225,225,225,1.0301,0.4808,1.9774,1.2041,1.4296
5825,5825,5825,1.3756,-0.9097,-0.609,-1.3152,-1.5551
5826,5826,5826,-0.1607,-0.0137,1.0037,0.7089,0.3735
6059,6059,6059,1.1461,-1.662,-0.3141,-1.6513,0.3685
23,23,23,-1.0767,-0.0621,-0.822,0.5852,-1.3776
10061,10061,10061,-2.4717,-0.33,-0.1182,-0.8089,0.129
55324,55324,55324,-0.6656,0.3088,1.0595,1.5204,0.6292
9619,9619,9619,-1.4064,1.2659,1.839,-0.4704,-0.0667
9429,9429,9429,1.9994,-0.421,-1.1732,2.0851,-0.5163
64137,64137,64137,0.3542,1.5428,1.0111,-0.1514,-0.0452
64240,64240,64240,1.4616,-0.8211,0.5429,2.6343,1.0409
64241,64241,64241,0.4429,-0.0818,0.3606,2.4712,1.1801
55347,55347,55347,0.3437,-0.0266,-0.4635,-0.822,-0.2726
83451,83451,83451,-0.608,0.1176,-0.4476,1.5413,-0.0712
26090,26090,26090,-0.9688,-0.6509,-0.3287,0.6205,0.1018
145447,145447,145447,-1.3624,-0.8623,-0.1523,-1.1587,-1.3624
84945,84945,84945,0.7708,-1.8049,-0.8234,-1.2029,-0.3185
25864,25864,25864,-0.4567,1.6557,0.4013,0.6588,0.95
84836,84836,84836,-0.76,0.221,-0.1166,-0.4859,0.4411
116236,116236,116236,0.2885,0.0888,0.6161,0.3813,0.9451
84696,84696,84696,0.0432,0.6515,-1.1835,0.4524,0.5109
11057,11057,11057,1.2169,-0.7416,1.2557,0.0002,-0.1047
171586,171586,171586,1.4801,0.3369,0.136,0.9365,-0.7385
63874,63874,63874,-0.1375,1.8105,0.7122,2.587,-0.2834
51099,51099,51099,0.406,-0.445,0.1567,-1.4737,-0.6993
57406,57406,57406,-0.367,-0.9358,-0.7283,0.1592,0.6807
79575,79575,79575,-0.0408,1.0338,0.3406,-0.7727,-0.7415
10006,10006,10006,0.9036,-0.5529,-0.6003,-0.4667,-0.3838
10152,10152,10152,0.4478,-0.4032,-0.0355,-0.6885,0.57
51225,51225,51225,-0.5689,1.8634,1.9625,1.0804,1.4157
25890,25890,25890,0.1261,-0.219,0.5624,1.3743,0.9738
25,25,25,-0.4918,0.0889,-0.7157,1.5155,1.1933
27,27,27,0.5862,0.1167,-0.2361,0.4358,-0.0926
3983,3983,3983,1.0637,-0.6301,1.4724,-0.3785,0.2273
84448,84448,84448,-1.8133,0.0523,-1.1554,-0.0623,-0.5814
22885,22885,22885,-0.8488,2.9992,1.9473,0.3722,-0.2391
